"'Cómo evitar el cargo mensual por servicio","'Mínimo requerido","'Este período correspondiente a los cargos",
"'Cumpla con CUALQUIERA de las siguientes opciones en cada período correspondiente a los Saldo promedio en el libro mayor","'cargos $1,000.00","'SELECTED $1,276.00 ÷",
"'Saldo diario mínimo","'$500.00","'NOT_SELECTED $2.44",
"'","'","'",
,,

'Confidence Scores % (Table Cell)
""'67.28515625","'53.17382813","'87.40234375",
"'43.18847656","'34.13085938","'56.10351563",
"'67.28515625","'53.17382813","'87.40234375",
"'49.63378906","'39.23339844","'64.45312500",
