"'Descripción del cargo por servicio","'Unidades utilizadas","'Unidades incluidas","'Unidades en exceso","'Cargo por servicio por unidad en exceso ($)","'Total de cargo por servicio ($)",
"'Cash Deposited ($)","'0","'5,000","'0","'0.0030","'0.00",
"'Transactions","'25","'100","'0","'0.50","'0.00",
"'Total de los cargos por servicios","'","'","'","'","'$0.00",
,,,,,

'Confidence Scores % (Table Cell)
""'95.41015625","'90.23437500","'93.89648438","'90.23437500","'94.87304688","'91.99218750",
"'86.57226563","'81.88476563","'85.20507813","'81.88476563","'86.08398438","'83.49609375",
"'92.08984375","'87.10937500","'90.67382813","'87.10937500","'91.60156250","'88.81835938",
"'93.50585938","'88.47656250","'92.04101563","'88.47656250","'93.01757813","'90.18554688",
