"'Descripción del cargo por servicio","'Unidades utilizadas","'Unidades incluidas","'Unidades en exceso","'Cargo por servicio por unidad en exceso ($)","'Total de cargo por servicio ($)",
"'Cash Deposited ($)","'0","'5,000","'0","'0.0030","'0.00",
"'Transactions","'37","'100","'0","'0.50","'0.00",
"'Total de los cargos por servicios","'","'","'","'","'$0.00",
,,,,,

'Confidence Scores % (Table Cell)
""'95.36132813","'90.52734375","'94.09179688","'90.72265625","'95.31250000","'91.94335938",
"'84.27734375","'80.02929688","'83.15429688","'80.17578125","'84.22851563","'81.25000000",
"'92.77343750","'88.08593750","'91.55273438","'88.28125000","'92.72460938","'89.45312500",
"'35.18066406","'35.18066406","'35.18066406","'35.18066406","'35.18066406","'90.08789063",
